h_age	h_organism_id	h_organism_name	age_normalized	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
Adults (pregnant)	9606	Homo sapiens (human)	adults (pregnant)						34
Adults (40 year-old average)	9606	Homo sapiens (human)	adults (40 year-old average)						77
11 or 18 weeks	10000025	Mus musculus Biozzi AB/H	11 or 18 weeks						141
5, 11 or 18 weeks	10000632	Mus musculus NOD	5, 11 or 18 weeks						152
mean 54 years (range 19-68)	9606	Homo sapiens (human)	mean 54 years (range 19-68)						177
11 or 18 weeks	10000637	Mus musculus NODasp	11 or 18 weeks						208
10.5 years avg.	9606	Homo sapiens (human)	10.5 years avg.						292
18–64 years)	9606	Homo sapiens (human)	18-64 years)						298
At least 8 weeks old	10000000	Mus musculus BALB/c	at least 8 weeks old						307
8 weeks or older	10000067	Mus musculus C57BL/6	8 weeks or older						313
2 months or older	10000000	Mus musculus BALB/c	2 months or older						320
35.4 yrs average	9606	Homo sapiens (human)	35.4 yrs average						330
6 months-1.1 year	9606	Homo sapiens (human)	6 months-1.1 year						334
4 months- 4 years	9606	Homo sapiens (human)	4 months- 4 years						338
5, 8, 11 or 18 weeks	10000632	Mus musculus NOD	5, 8, 11 or 18 weeks						346
10 years and older	9606	Homo sapiens (human)	10 years and older						412
1 month-old-81 years-old	9606	Homo sapiens (human)	1 month-old-81 years-old						426
Children (mean age 7.2 years)	9606	Homo sapiens (human)	children (mean age 7.2 years)						505
5 months-3 years	9606	Homo sapiens (human)	5 months-3 years						542
6 months to 2 years	9606	Homo sapiens (human)	6 months to 2 years						610
6 weeks or older	10000233	Mus musculus CBA/Ca	6 weeks or older						651
6 weeks or older	10000000	Mus musculus BALB/c	6 weeks or older						679
37 yrs average	9606	Homo sapiens (human)	37 yrs average						686
37 yrs. Average	9606	Homo sapiens (human)	37 yrs. average						720
Adults and children (ages 4.5-10.5 and 15-44)	9606	Homo sapiens (human)	adults and children (ages 4.5-10.5 and 15-44)						772
At least 8 weeks old	10000067	Mus musculus C57BL/6	at least 8 weeks old						777
average of 30.2 years	9606	Homo sapiens (human)	average of 30.2 years						844
~ 33 to 55 years	9606	Homo sapiens (human)	~ 33 to 55 years						920
23 and 61 years	9606	Homo sapiens (human)	23 and 61 years						937
11 or 18 weeks	10000632	Mus musculus NOD	11 or 18 weeks						968
10 to over 90 years	9606	Homo sapiens (human)	10 to over 90 years						979
Adult (within 24 hours of parturition)	9606	Homo sapiens (human)	adult (within 24 hours of parturition)						988
2 months and 5 months	10000224	Mus musculus C57BL/6JTgN(Alb1HBV)44Bri	2 months and 5 months						1012
5 or 6 weeks	10090	Mus musculus (mouse)	5 or 6 weeks						1034
6 weeks or older	10090	Mus musculus (mouse)	6 weeks or older						1038
18, 35 years	9606	Homo sapiens (human)	18, 35 years						1062
7 yo 8 weeks	10000576	Mus musculus HLA-A*02:01 Tg	7 yo 8 weeks						1074
5 or 8 weeks	10000632	Mus musculus NOD	5 or 8 weeks						1078
35.4 yrs. Average	9606	Homo sapiens (human)	35.4 yrs. average						1091
2 months to 52 years	9606	Homo sapiens (human)	2 months to 52 years						1134
9 or 20 weeks	10000632	Mus musculus NOD	9 or 20 weeks						1197
Mean=28.5 ± 15.0	9606	Homo sapiens (human)	mean=28.5 ± 15.0						1232
2, 3, or 4 months	10000632	Mus musculus NOD	2, 3, or 4 months						1259
10.1 ± 3.6 yr	9606	Homo sapiens (human)	10.1 ± 3.6 yr						1261
38.6 years (mean age)	9606	Homo sapiens (human)	38.6 years (mean age)						1336
2 months or 2-10 months	10000047	Mus musculus C57BL/10	2 months or 2-10 months						1345
within 12 hours of birth	10000038	Mus musculus C3H/He	within 12 hours of birth						1403
older than 8 weeks	10000216	Mus musculus C57BL/6 X BALB/c	older than 8 weeks						1413
Adult (avg. age = 30.8 years)	9606	Homo sapiens (human)	adult (avg. age = 30.8 years)						1495
24 hours after birth	10000274	Mus musculus B10.PL	24 hours after birth						1524
